categories,coordinates.latitude,coordinates.longitude,distance,location.city,location.state,price,rating,review_count,transactions
"[{'alias': 'bakeries', 'title': 'Bakeries'}]",40.7773520936702,-73.980282552649,8082.367282240455,New York,NY,$$,4.5,8073,[]
"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]",40.721128,-73.983933,1950.282829638887,New York,NY,$$,4.0,5066,"['delivery', 'restaurant_reservation', 'pickup']"
"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'desserts', 'title': 'Desserts'}]",40.72522,-74.00291,2316.930739426023,New York,NY,$$,4.0,4488,[]
"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'burgers', 'title': 'Burgers'}]",40.7582662685627,-73.98654,5909.685568734853,New York,NY,$$,4.0,4622,"['delivery', 'pickup']"
"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'cupcakes', 'title': 'Cupcakes'}, {'alias': 'customcakes', 'title': 'Custom Cakes'}]",40.730140000000006,-74.00248,2828.8123868611574,New York,NY,$$,4.5,1654,"['delivery', 'pickup']"
"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'desserts', 'title': 'Desserts'}]",40.7215431969029,-73.9972332037048,1807.1202287470205,New York,NY,$,4.5,1644,"['delivery', 'pickup']"
"[{'alias': 'bakeries', 'title': 'Bakeries'}]",40.719851,-73.987011,1715.4495332037204,New York,NY,$,4.0,2062,"['delivery', 'pickup']"
"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'bagels', 'title': 'Bagels'}, {'alias': 'delis', 'title': 'Delis'}]",40.756300559254996,-73.9703701025162,6003.4330366691065,New York,NY,$,4.0,3595,"['delivery', 'pickup']"
"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'italian', 'title': 'Italian'}]",40.729431,-73.98454100000001,2790.9003658891966,New York,NY,$$,4.0,2050,"['delivery', 'pickup']"
"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'newamerican', 'title': 'American (New)'}]",34.106215,-118.28776,5848.874096503206,Los Angeles,CA,$$,4.0,4263,['delivery']
"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'donuts', 'title': 'Donuts'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]",34.068796,-118.293089,2723.4477992356265,Los Angeles,CA,$,4.0,2771,"['delivery', 'pickup']"
"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'cupcakes', 'title': 'Cupcakes'}]",41.921859999999995,-87.65884,2424.1822255645607,Chicago,IL,$$,4.5,1589,['delivery']
"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]",41.919090000000004,-87.69698299999999,2222.3468603012984,Chicago,IL,$$,4.5,1132,['delivery']
"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'donuts', 'title': 'Donuts'}]",41.89027,-87.63078,4243.166763646386,Chicago,IL,$,4.0,1546,"['delivery', 'pickup']"
"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'cakeshop', 'title': 'Patisserie/Cake Shop'}]",29.81,-95.3824631,5656.947391891934,Houston,TX,$,4.5,447,['delivery']
"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'bagels', 'title': 'Bagels'}]",29.747719835001,-95.4103392342872,5152.979815892715,Houston,TX,$,4.5,598,['delivery']
