text,score,label
beauti ✨,0.0,NEUTRAL
👇🥰👇🌹👇🙏👇💐👇🤩👇,0.0,NEUTRAL
⬅✨,0.0,NEUTRAL
⬅✨,0.0,NEUTRAL
⬅✨ morn ❣ worri happy 👧🏼,0.5719,POSITIVE
friends❤ 👎 🔥 happen 🌴 💋m 💋now first 🍊 dad bring home cook food mom bring ice cream 🐷mak happen 🌴 morn ❣ shadow love sun 🌞🏖 💋m 💋now day 👠 shenanigan great music☀🌴🎶❤ 🎈 awesom trend music game,0.8519,POSITIVE
funny exicting challenge,0.4939,POSITIVE
check out 👉til hop👈,0.0,NEUTRAL
feel good 🙊 suddenly😊 ✌👧🏼 🎈 beyond 🙈🙉🙊 feel good 🙊 come back summer 😔🏖 feel good 🙊 gorgeou ella mai shell help ea lockdown naughti privat content 😉 first 🍊 rt voic power,0.886,POSITIVE
video work 🏈 degre 😎 feel good 🙊 honor ❤❤⭐,0.7269,POSITIVE
buy link,0.0,NEUTRAL
happen 🌴 limit donald trump for one knows due sale nacot rawr xd fad  🌹 🐻 🌺 🎭 ⬆ 👈 💓 🚕 💱 🎯 🍃 🎪c 👟 self spain,0.6908,POSITIVE
awesom trend music game,0.0,NEUTRAL
funny exicting challenge,0.4939,POSITIVE
check out 👉til hop👈,0.0,NEUTRAL
pic men also skip 🤤💙 love sun 🌞🏖 work 🏈 🏀🏀 self spain,0.6369,POSITIVE
🍦🍫🍬🍭 😉 decid fli 🕊 love crazi 💃 👟 pride love easi make hard 🌈 feel good 🙊 differ everi way👱 🏳️‍🌈to continu fight lgbtq rights memori two late great friend sunday💟 differ everi way👱 feel good 🙊 happen 🌴 day 👠 allow fear destroy you maintain reduc 💔,0.9442,POSITIVE
➡ im weak shit get cri so tho,-0.7579,NEGATIVE
📡📡📡 first 🍊 truth out crisi current plagu penalti rate perhap due sale weapon smal fresh😍,0.0258,NEUTRAL
natural😘😘😘😘,0.0,NEUTRAL
get sleep like this 💞 shadow 👟 differ would life think ouija evil👻 fall,0.3612,POSITIVE
love sun 🌞🏖 tree sunday rise 🌴 🎈 🔥 differ everi way👱 yourself,0.6369,POSITIVE
new normal long last cope it globeshowingamericas,0.0,NEUTRAL
➡ ⬅,0.0,NEUTRAL
😉 shop today women tank tops tshirts long sleeves sweatshirts,0.5106,POSITIVE
🔗 shop,0.0,NEUTRAL
👍 lil bro 💯 congratshi babi 💓😝 die hair blue post fans,-0.5994,NEGATIVE
✨check out,0.0,NEUTRAL
worri happy 👧🏼,0.5719,POSITIVE
queen kings💜 love crazi 💃 let bi girl date boy 🙄dont make plan next saturday,0.6369,POSITIVE
🩸,0.0,NEUTRAL
📺 📼 🏳️‍🌈 ireland well way celebr pride 🏳️‍🌈 parti home parents,0.5423,POSITIVE
couldnt ask inevit malcom turnbul last decad due dog grog  angeri  ⛪ 👠 ⚠ 💁 🏩 💏 ✊ japanesereservedbutton japanesenotfreeofchargebutton 👜 😾 🔴 shhhhhhhhh listen 🎸💕💗😎🥰😁⛺🎉🌈↘↘↘check fixi road truest best friend let use wd dont go creepi michigan basement 🙏🏾what awesom trend music game,0.9325,POSITIVE
funny exicting challenge,0.4939,POSITIVE
check out 👉til hop👈,0.0,NEUTRAL
photo by joseph hill🙂📸🌼,0.0,NEUTRAL
cock rates well rate cock 🍆🍆 ❤🖤 codi pixar 😍 awesom trend music game,-0.0258,NEUTRAL
funny exicting challenge,0.4939,POSITIVE
check out 👉til hop👈,0.0,NEUTRAL
short stream minut bed back play 🤔,0.34,POSITIVE
e,0.0,NEUTRAL
check read new post now👇 rememb bawl eye drop 😭🥺short words,-0.2732,NEUTRAL
🤔🤔🤔🤔,0.0,NEUTRAL
hour late night phone call guy besti ✨ make tell problem easi,-0.4019,NEGATIVE
still pick flower mom year later,0.0,NEUTRAL
💐❤💐❤💐,0.0,NEUTRAL
sunday 💁🏼‍♀️☕ quot never fade,0.0,NEUTRAL
there will there way happi sunday friend famili 👍🏽 duo bitch would like see 😘❤,0.2263,NEUTRAL
➡ like➡ comment,0.0,NEUTRAL
➖➖➖➖ food eat🙏,0.0,NEUTRAL
glori god 🙇,0.2732,NEUTRAL
➡ like➡ comment,0.0,NEUTRAL
➖➖➖➖ free invinc 💋,0.5106,POSITIVE
🌈,0.0,NEUTRAL
though year look different im thank abl proudli express ive get find this im retir mother rel reside ❤ ➡ like➡ comment,0.3612,POSITIVE
➖➖➖➖ ➡ like➡ comment,0.0,NEUTRAL
➖➖➖➖ ive get find this im retir mother rel reside start yours 👽🛸,0.0,NEUTRAL
bet downfal paulin hanson gener fault new arnott shape rawr hear ➡ like➡ comment,-0.4019,NEGATIVE
➖➖➖➖ earli birthday celebr besties❣ get find this im retir mother rel reside sad e,-0.4767,NEGATIVE
check read new post now👇 de blasio doing 🤦🏾‍♀️ wonder timelin sooo quiet 😂 awesom earli birthday garden party family love all🥰🎉 ➡ like➡ comment,0.7845,POSITIVE
➖➖➖➖ plea drop yuh knee 🔥🔥🔥🔥,-0.2732,NEUTRAL
short screen record live video last night 😈 go live week least hour fan lo live podcast black live matter famili lie 😍i finish watch two season two day 😂😂 want million hous la hill 😂😂🤦🏼‍♀️ alien pie new designs amazed👕womansclothes😎 link bio🤗,0.4019,POSITIVE
cant stop 🎶  get hers get yours care mainten kit custom suit that 🤞🏾 proud you work donethank good friend great memories 🎉,0.9544,POSITIVE
bio ❌⏯💪🏾💜,0.0,NEUTRAL
thank beauti day god good time ❤🙏🏾🙌🏾😷got call wear mask proud it🙌 one save know media bias view rapecultur overal unfortun result malcolm turnbul experience ❤ ❤ ❤,0.9081,POSITIVE
success busi nice gentleman☺,0.7579,POSITIVE
love💗 ❤☀croatia🏖🤗😘😍💏☀💚🏖croatia🏡,0.0,NEUTRAL
day summer 😎🍍🐕 🍩 🧜‍♀️ great live people success 👈👈👈,0.8316,POSITIVE
love 🤍 encourag enjoy simpl thing life,0.8126,POSITIVE
pride lovers straight lgbtq one love love❤💛💚💙💜🤎,0.8979,POSITIVE
make whisker too st time far 😉,0.0,NEUTRAL
📸 😇 😍 😎👍 🙏🏻 👏❤💛💜🧡💚💙🖤💓💗💖💘💝💞💕         break wont break bond brother ✊🏼 damn ur funnycraziest shit ive read twitter todayrefriger breaks holi fuck 🤣🤣veilfal ✍adron,-0.8689,NEGATIVE
sword sorceri love stori,0.6369,POSITIVE
🎁🎁 juli st,0.0,NEUTRAL
day lil shop morn beauti mommi 😘❤🙏🏾beauti dakotakuhn wear popular poppi red❤ contacts contact avail prescript kill viru right,-0.4404,NEGATIVE
right,0.0,NEUTRAL
🦗 🦗 🦗👆follow friends👇,0.0,NEUTRAL
thought two 🤔,0.0,NEUTRAL
guess one thing stand fill mani emotions ❤ happi 💞follow ➡ like➡ comment,0.0,NEUTRAL
➖➖➖➖ reason agre watch mad max❤🤪🥰😍🤩,-0.4939,NEGATIVE
late documentari roswel friend place 👽🛸,0.4939,POSITIVE
➡ like➡ comment,0.0,NEUTRAL
➖➖➖➖ strength success failures,0.5994,POSITIVE
💪 touch bt turn gold💛💛💛💜💜💜❤❤💗💙💙 ➡ like➡ comment,0.0,NEUTRAL
➖➖➖➖ averag encount polic halifax canada,0.0,NEUTRAL
😂🤣,0.0,NEUTRAL
draw queen anna meet beard han cell southern islesart prompt tumblr ,0.0,NEUTRAL
hope ➡ like➡ comment,0.4404,POSITIVE
➖➖➖➖ ➡ like➡ comment,0.0,NEUTRAL
➖➖➖➖ need love ❤,0.6369,POSITIVE
get call eminem chang rest life 🚀🚀🚀🚀 review ken stark jitters,0.0,NEUTRAL
read sleep😎,0.0,NEUTRAL
done done 😊,0.0,NEUTRAL
wolfi sound 🐺 relat huskys😊🥰😃new video stay motivated💪keep fight 🥊,-0.3818,NEGATIVE
take one step time,0.0,NEUTRAL
cock rates well rate cock 🍆🍆 awesom trend music game,-0.0258,NEUTRAL
funny exicting challenge,0.4939,POSITIVE
check out 👉til hop👈,0.0,NEUTRAL
awesom trend music game,0.0,NEUTRAL
funny exicting challenge,0.4939,POSITIVE
check out 👉til hop👈,0.0,NEUTRAL
s broadcast sunday 💁🏼‍♀️☕ alien pie new designs amazed👕womansclothes😎 link bio🤗,0.0,NEUTRAL
treat mama good 💕,0.6808,POSITIVE
way spend sunday 🥰 time 💜🎬,0.0,NEUTRAL
make whisker too st time far 😉,0.0,NEUTRAL
📸 know 💖 🌈 zilker mummi love explor day 🌈💙 😍okhandi believ linda😉 play woman show,0.765,POSITIVE
holland netherlands year ago day,0.0,NEUTRAL
dom like dublin ireland 😭anyon cock rates well rate cock 🍆🍆 🦸♂ ⭐⭐⭐⭐⭐ review bizdoc beauti old style gift friend love it quick ship highli recommend day left yessir🔥 live heart live bodi 💕,0.9349,POSITIVE
good night everyon 💕,0.4404,POSITIVE
big henrijun gloom la make all lowkey  cmon ☀ see true colors that love 🌈,0.5267,POSITIVE
🌈,0.0,NEUTRAL
blackwhit issue celebr travel 🙃,0.0,NEUTRAL
